# This file is a source file for dutycycle quantities
#
# FORMAT
# key: A string key
# latex_key (optional): A latex-macro friendly key. If empty, a key will be generated
# quantity: the numerical value
# unit: the units
# reviewed [Yes, No]: if the value has been reviewed
#
# USAGE
# To read the csv file in with pandas, you can use:
# df = pd.read_csv("dutycycle_quantities.csv", header=0, comment="#", skipinitialspace=True)

# Column names
key, latex_key, value, unit, reviewed
o3a_duration_h_any, OthreeaDurationHAny, 129.84577546296296, day, Yes
o3a_duration_h_any_fraction, OthreeaDurationHAnyFraction, 70.95397566282129, percent, Yes
o3a_duration_l_any, OthreeaDurationLAny, 138.3817013888889, day, Yes
o3a_duration_l_any_fraction, OthreeaDurationLAnyFraction, 75.61841605950212, percent, Yes
o3a_duration_v_any, OthreeaDurationVAny, 139.33945601851852, day, Yes
o3a_duration_v_any_fraction, OthreeaDurationVAnyFraction, 76.14177924509208, percent, Yes
o3a_duration_none, OthreeaDurationNone, 5.850335648148148, day, Yes
o3a_duration_none_fraction, OthreeaDurationNoneFraction, 3.1969047257640155, percent, Yes
o3a_duration_h, OthreeaDurationH, 5.58949074074074, day, Yes
o3a_duration_h_fraction, OthreeaDurationHFraction, 3.0543665249949403, percent, Yes
o3a_duration_l, OthreeaDurationL, 6.277905092592593, day, Yes
o3a_duration_l_fraction, OthreeaDurationLFraction, 3.430549230924914, percent, Yes
o3a_duration_v, OthreeaDurationV, 15.71050925925926, day, Yes
o3a_duration_v_fraction, OthreeaDurationVFraction, 8.584977737300141, percent, Yes
o3a_duration_hl, OthreeaDurationHL, 25.9428125, day, Yes
o3a_duration_hl_fraction, OthreeaDurationHLFraction, 14.176400273224044, percent, Yes
o3a_duration_hv, OthreeaDurationHV, 17.467962962962964, day, Yes
o3a_duration_hv_fraction, OthreeaDurationHVFraction, 9.545334952438777, percent, Yes
o3a_duration_lv, OthreeaDurationLV, 25.315474537037037, day, Yes
o3a_duration_lv_fraction, OthreeaDurationLVFraction, 13.833592643189638, percent, Yes
o3a_duration_hlv, OthreeaDurationHLV, 80.84550925925926, day, Yes
o3a_duration_hlv_fraction, OthreeaDurationHLVFraction, 44.17787391216353, percent, Yes

o3b_duration, OthreebDuration, 147.08333333333334, day, Yes
o3b_duration_any_one, OthreebDurationAnyOne, 141.8737962962963, day, Yes
o3b_duration_any_one_fraction, OthreebDurationAnyOneFraction, 96.45810513062638, percent, Yes
o3b_duration_any_two, OthreebDurationAnyTwo, 124.60466435185185, day, Yes
o3b_duration_any_two_fraction, OthreebDurationAnyTwoFraction, 84.71705225055084, percent, Yes
o3b_duration_h_any, OthreebDurationHAny, 115.36105324074074, day, Yes
o3b_duration_h_any_fraction, OthreebDurationHAnyFraction, 78.4324441296821, percent, Yes
o3b_duration_l_any, OthreebDurationLAny, 113.55111111111111, day, Yes
o3b_duration_l_any_fraction, OthreebDurationLAnyFraction, 77.20188857412653, percent, Yes
o3b_duration_v_any, OthreebDurationVAny, 111.00934027777778, day, Yes
o3b_duration_v_any_fraction, OthreebDurationVAnyFraction, 75.47377242681775, percent, Yes
o3b_duration_none, OthreebDurationNone, 5.209537037037037, day, Yes
o3b_duration_none_fraction, OthreebDurationNoneFraction, 3.541894869373623, percent, Yes
o3b_duration_h, OthreebDurationH, 4.517118055555556, day, Yes
o3b_duration_h_fraction, OthreebDurationHFraction, 3.071128423040604, percent, Yes
o3b_duration_l, OthreebDurationL, 3.422476851851852, day, Yes
o3b_duration_l_fraction, OthreebDurationLFraction, 2.326896443185395, percent, Yes
o3b_duration_v, OthreebDurationV, 9.329537037037037, day, Yes
o3b_duration_v_fraction, OthreebDurationVFraction, 6.343028013849543, percent, Yes
o3b_duration_hl, OthreebDurationHL, 22.92486111111111, day, Yes
o3b_duration_hl_fraction, OthreebDurationHLFraction, 15.586307837582625, percent, Yes
o3b_duration_hv, OthreebDurationHV, 14.476030092592593, day, Yes
o3b_duration_hv_fraction, OthreebDurationHVFraction, 9.842060119609695, percent, Yes
o3b_duration_lv, OthreebDurationLV, 13.760729166666666, day, Yes
o3b_duration_lv_fraction, OthreebDurationLVFraction, 9.355736543909348, percent, Yes
o3b_duration_hlv, OthreebDurationHLV, 73.44304398148148, day, Yes
o3b_duration_hlv_fraction, OthreebDurationHLVFraction, 49.93294774944916, percent, Yes

o4a_duration, OfouraDuration, 237.04166666666666, day, Yes
o4a_duration_any_one, OfouraDurationAnyOne, 196.8159837962963, day, Yes
o4a_duration_any_one_fraction, OfouraDurationAnyOneFraction, 83.0301214820023, percent, Yes
o4a_duration_any_two, OfouraDurationAnyTwo, 126.47008101851851, day, Yes
o4a_duration_any_two_fraction, OfouraDurationAnyTwoFraction, 53.35352336868421, percent, Yes
o4a_duration_h_any, OfouraDurationHAny, 159.81712962962962, day, Yes
o4a_duration_h_any_fraction, OfouraDurationHAnyFraction, 67.4215347356497, percent, Yes
o4a_duration_l_any, OfouraDurationLAny, 163.4689351851852, day, Yes
o4a_duration_l_any_fraction, OfouraDurationLAnyFraction, 68.96211011503682, percent, Yes
o4a_duration_none, OfouraDurationNone, 40.22568287037037, day, Yes
o4a_duration_none_fraction, OfouraDurationNoneFraction, 16.969878517997696, percent, Yes
o4a_duration_h, OfouraDurationH, 33.34704861111111, day, Yes
o4a_duration_h_fraction, OfouraDurationHFraction, 14.06801136696549, percent, Yes
o4a_duration_l, OfouraDurationL, 36.99885416666667, day, Yes
o4a_duration_l_fraction, OfouraDurationLFraction, 15.60858674635261, percent, Yes
o4a_duration_hl, OfouraDurationHL, 126.47008101851851, day, Yes
o4a_duration_hl_fraction, OfouraDurationHLFraction, 53.35352336868421, percent, Yes
